,DEPTH,ROP,GR,CALI,BS,RD,RT,RM,NPHI,RHOB,DRHO,DT,PEF,label
33657,3554.2,19.607,150.0,8.648,8.5,2.11,2.041,2.041,0.44,2.276,0.042,115.103,7.523,0
33658,3554.3,19.606,150.0,8.672,8.5,2.149,2.116,2.116,0.44,2.282,0.05,115.265,7.498,0
33659,3554.4,19.605,150.0,8.648,8.5,2.173,2.198,2.198,0.441,2.276,0.051,115.297,7.42,0
33660,3554.5,19.599,150.0,8.625,8.5,2.199,2.277,2.277,0.441,2.264,0.047,115.011,7.33,0
33661,3554.6,19.592,150.0,8.625,8.5,2.258,2.457,2.457,0.443,2.252,0.043,114.505,7.237,0
33662,3554.7,19.586,150.0,8.625,8.5,2.284,2.562,2.562,0.446,2.244,0.042,113.608,7.117,0
33663,3554.8,19.579,150.0,8.625,8.5,2.24,2.553,2.553,0.448,2.24,0.045,112.504,6.95,0
33664,3554.9,19.573,150.0,8.625,8.5,2.135,2.366,2.366,0.452,2.235,0.048,111.422,6.768,0
33665,3555.0,19.567,150.0,8.625,8.5,2.096,2.328,2.328,0.457,2.228,0.048,110.852,6.659,0
33666,3555.1,19.576,150.0,8.625,8.5,2.157,2.449,2.449,0.46,2.22,0.042,110.601,6.698,0
33667,3555.2,19.586,150.0,8.625,8.5,2.149,2.408,2.408,0.456,2.219,0.036,110.486,6.871,0
33668,3555.3,19.595,150.0,8.625,8.5,2.157,2.316,2.316,0.446,2.227,0.034,110.149,7.077,0
33669,3555.4,19.605,150.0,8.625,8.5,2.279,2.69,2.69,0.431,2.242,0.035,109.696,7.248,0
33670,3555.5,19.615,150.0,8.625,8.5,2.533,3.364,3.364,0.419,2.26,0.037,109.131,7.374,0
33671,3555.6,19.624,150.0,8.625,8.5,1.807,1.491,1.491,0.413,2.276,0.039,108.165,7.457,0
33672,3555.7,19.636,150.0,8.625,8.5,1.45,0.778,0.778,0.414,2.288,0.04,107.325,7.471,0
33673,3555.8,19.649,150.0,8.625,8.5,1.533,0.834,0.834,0.423,2.294,0.043,106.578,7.386,0
33674,3555.9,19.661,150.0,8.625,8.5,1.877,1.833,1.833,0.435,2.295,0.048,105.591,7.211,0
33675,3556.0,19.67,150.0,8.625,8.5,2.108,2.91,2.91,0.445,2.289,0.054,104.615,7.003,0
33676,3556.1,19.68,150.0,8.625,8.5,2.008,2.437,2.437,0.449,2.277,0.057,103.648,6.822,0
33677,3556.2,19.689,150.0,8.625,8.5,2.061,2.797,2.797,0.449,2.259,0.056,102.302,6.705,0
33678,3556.3,19.694,150.0,8.625,8.5,2.42,2.89,2.89,0.447,2.242,0.05,100.893,6.676,0
33679,3556.4,19.699,150.0,8.625,8.5,1.778,2.131,2.131,0.447,2.235,0.042,99.418,6.779,0
33680,3556.5,19.703,150.0,8.625,8.5,1.47,1.345,1.345,0.448,2.242,0.031,97.982,7.053,0
33681,3556.6,19.702,150.0,8.625,8.5,1.086,1.041,1.041,0.444,2.265,0.018,96.223,7.529,0
33682,3556.7,19.701,150.0,8.648,8.5,0.528,0.467,0.467,0.435,2.311,0.003,94.003,8.203,0
33683,3556.8,19.7,150.0,8.648,8.5,0.231,126.352,126.352,0.429,2.379,-0.011,93.772,9.038,0
33684,3556.9,19.709,150.0,8.672,8.5,0.139,62164.707,62164.707,0.427,2.472,-0.023,93.513,10.012,0
33685,3557.0,19.718,150.0,8.703,8.5,0.118,0.103,0.103,0.429,2.582,-0.027,92.769,11.029,0
33686,3557.1,19.727,150.0,8.703,8.5,0.095,0.119,0.119,0.429,2.699,-0.017,92.369,11.884,0
33687,3557.2,19.737,150.0,8.703,8.5,0.191,0.155,0.155,0.431,2.791,0.009,92.232,12.221,0
33688,3557.3,19.746,150.0,8.703,8.5,0.287,0.192,0.192,0.434,2.884,0.035,92.521,12.558,0
33689,3557.4,19.755,150.0,8.703,8.5,0.086,64.344,64.344,0.441,2.924,0.05,93.941,12.548,0
33690,3557.5,19.753,150.0,8.703,8.5,0.091,31412.42,31412.42,0.445,2.935,0.045,95.244,12.608,0
33691,3557.6,19.752,150.0,8.75,8.5,0.089,31208.932,31208.932,0.442,2.939,0.03,95.423,12.829,0
33692,3557.7,19.75,150.0,8.75,8.5,0.14,62164.938,62164.938,0.443,2.954,0.018,96.066,13.159,0
33693,3557.8,19.751,150.0,8.75,8.5,0.142,114.473,114.473,0.447,2.981,0.016,96.912,13.496,0
33694,3557.9,19.752,150.0,8.781,8.5,0.098,29.321,29.321,0.447,3.007,0.019,97.91,13.741,0
33695,3558.0,19.753,150.0,8.75,8.5,0.115,67.671,67.671,0.439,3.022,0.023,98.983,13.841,0
33696,3558.1,19.751,150.0,8.781,8.5,0.135,31146.777,31146.777,0.42,3.025,0.027,100.012,13.797,0
33697,3558.2,19.75,150.0,8.727,8.5,0.084,31082.719,31082.719,0.399,3.019,0.034,100.681,13.639,0
33698,3558.3,19.749,150.0,8.687,8.5,0.087,0.667,0.667,0.378,3.005,0.044,101.09,13.369,0
33699,3558.4,19.743,150.0,8.672,8.5,0.087,63.639,63.639,0.36,2.983,0.054,101.242,12.9,0
33700,3558.5,19.736,150.0,8.672,8.5,0.255,31082.777,31082.777,0.344,2.949,0.065,100.59,12.111,0
33701,3558.6,19.73,150.0,8.672,8.5,0.136,0.421,0.421,0.331,2.904,0.08,100.12,10.998,0
33702,3558.7,19.725,150.0,8.672,8.5,0.209,0.964,0.964,0.319,2.846,0.097,99.656,9.743,0
33703,3558.8,19.72,150.0,8.625,8.5,0.576,0.992,0.992,0.313,2.774,0.111,97.801,8.613,0
33704,3558.9,19.715,150.0,8.625,8.5,1.075,0.775,0.775,0.308,2.692,0.113,95.989,7.811,0
33705,3559.0,19.69,150.0,8.648,8.5,1.796,0.625,0.625,0.306,2.611,0.099,94.235,7.393,0
33706,3559.1,19.665,150.0,8.625,8.5,1.857,0.52,0.52,0.306,2.547,0.075,93.239,7.248,0
33707,3559.2,19.64,150.0,8.648,8.5,1.639,1.302,1.302,0.308,2.511,0.049,93.915,7.316,0
33708,3559.3,19.559,150.0,8.672,8.5,1.636,1.866,1.866,0.315,2.506,0.027,96.23,7.542,0
33709,3559.4,19.478,150.0,8.672,8.5,1.702,1.97,1.97,0.324,2.523,0.017,96.704,7.788,0
33710,3559.5,19.396,150.0,8.672,8.5,1.527,1.534,1.534,0.331,2.554,0.026,96.859,7.893,0
33711,3559.6,19.106,150.0,8.672,8.5,1.455,1.546,1.546,0.337,2.585,0.053,96.678,7.763,0
